id,Model,percent,AI Response
94.0,GPT-3.5,0,90
95.0,GPT-3.5,0,100
96.0,GPT-3.5,0,90
97.0,GPT-3.5,0,90
98.0,GPT-3.5,0,90
99.0,GPT-3.5,0,90
100.0,GPT-3.5,0,90
101.0,GPT-3.5,0,100
102.0,GPT-3.5,0,100
103.0,GPT-3.5,0,100
104.0,GPT-3.5,0,90
105.0,GPT-3.5,0,100
106.0,GPT-3.5,0,90
107.0,GPT-3.5,0,90
108.0,GPT-3.5,0,90
109.0,GPT-3.5,0,90
110.0,GPT-3.5,0,90
111.0,GPT-3.5,0,80
112.0,GPT-3.5,0,0
113.0,GPT-3.5,0,100
114.0,GPT-3.5,0,98
115.0,GPT-3.5,0,100
116.0,GPT-3.5,0,90
117.0,GPT-3.5,0,100
118.0,GPT-3.5,0,90
119.0,GPT-3.5,0,90
120.0,HUMAN,0,100
121.0,HUMAN,0,90
122.0,GPT-3.5,0,90
123.0,GPT-3.5,0,100
124.0,GPT-3.5,0,90
125.0,GPT-3.5,0,90
126.0,GPT-3.5,0,80
127.0,HUMAN,0,90
128.0,HUMAN,0,90
129.0,HUMAN,0,100
130.0,GPT-3.5,0,100
131.0,GPT-3.5,0,90
132.0,HUMAN,0,100
133.0,HUMAN,0,90
134.0,HUMAN,0,100
135.0,GPT-3.5,0,90
136.0,GPT-3.5,0,100
137.0,HUMAN,0,0
138.0,HUMAN,0,100
139.0,HUMAN,0,100
140.0,GPT-3.5,0,90
141.0,GPT-3.5,0,100
142.0,HUMAN,0,90
143.0,HUMAN,0,98
144.0,HUMAN,0,90
145.0,GPT-3.5,0,90
146.0,GPT-3.5,0,98
147.0,HUMAN,0,100
148.0,HUMAN,0,90
149.0,HUMAN,0,90
150.0,GPT-3.5,0,90
151.0,GPT-3.5,0,90
152.0,HUMAN,0,90
153.0,HUMAN,0,90
154.0,HUMAN,0,90
155.0,GPT-3.5,0,100
156.0,GPT-3.5,0,90
157.0,HUMAN,0,90
158.0,HUMAN,0,90
159.0,GPT-3.5,0,90
160.0,GPT-3.5,0,90
161.0,HUMAN,0,100
162.0,HUMAN,0,90
163.0,GPT-3.5,0,90
164.0,GPT-3.5,0,90
165.0,HUMAN,0,90
166.0,HUMAN,0,100
167.0,GPT-3.5,0,100
168.0,GPT-3.5,0,90
169.0,HUMAN,0,90
170.0,HUMAN,0,100
171.0,GPT-3.5,0,90
172.0,GPT-3.5,0,90
173.0,GPT-3.5,0,90
174.0,GPT-3.5,0,100
175.0,GPT-3.5,0,90
176.0,GPT-3.5,0,90
177.0,GPT-3.5,0,90
178.0,GPT-3.5,0,90
179.0,HUMAN,0,90
180.0,HUMAN,0,100
181.0,HUMAN,0,100
182.0,GPT-3.5,0,90
183.0,GPT-3.5,0,90
184.0,GPT-3.5,0,90
185.0,GPT-3.5,0,100
186.0,GPT-3.5,0,90
187.0,GPT-3.5,0,100
188.0,GPT-3.5,0,0
189.0,HUMAN,0,100
190.0,HUMAN,0,90
191.0,HUMAN,0,100
192.0,HUMAN,0,100
193.0,GPT-3.5,0,100
194.0,GPT-3.5,0,100
195.0,GPT-3.5,0,100
196.0,GPT-3.5,0,90
197.0,GPT-3.5,0,90
198.0,GPT-3.5,0,99
199.0,GPT-3.5,0,100
200.0,GPT-3.5,0,90
201.0,GPT-4,0,100
202.0,GPT-4,0,90
203.0,GPT-4,0,90
204.0,GPT-3.5,0,90
205.0,GPT-3.5,0,90
206.0,GPT-4,0,90
207.0,GPT-4,0,90
208.0,GPT-4,0,90
209.0,GPT-3.5,0,90
210.0,GPT-3.5,0,90
211.0,GPT-3.5,0,90
212.0,HUMAN,0,100
213.0,HUMAN,0,90
214.0,HUMAN,0,90
215.0,GPT-4,0,98
216.0,GPT-4,0,90
217.0,GPT-4,0,90
218.0,GPT-4,0,90
219.0,GPT-3.5,0,100
220.0,GPT-3.5,0,90
221.0,GPT-3.5,0,90
222.0,HUMAN,0,100
223.0,HUMAN,0,90
224.0,HUMAN,0,90
225.0,GPT-4,0,90
226.0,GPT-4,0,90
227.0,HUMAN,0,90
228.0,HUMAN,0,90
229.0,GPT-3.5,0,90
230.0,GPT-3.5,0,90
231.0,GPT-4,0,99
232.0,GPT-4,0,90
233.0,HUMAN,0,90
234.0,HUMAN,0,90
235.0,GPT-3.5,0,90
236.0,GPT-3.5,0,90
237.0,GPT-4,0,90
238.0,GPT-4,0,90
239.0,GPT-3.5,0,90
240.0,GPT-3.5,0,100
241.0,GPT-4,0,90
242.0,GPT-4,0,90
243.0,GPT-4,0,90
244.0,GPT-4,0,90
245.0,GPT-4,0,90
246.0,GPT-4,0,90
247.0,GPT-4,0,90
248.0,GPT-4,0,99
249.0,GPT-4,0,90
250.0,GPT-4,0,90
251.0,GPT-4,0,90
252.0,GPT-4,0,100
253.0,GPT-4,0,90
254.0,GPT-4,0,90
255.0,GPT-4,0,90
256.0,GPT-4,0,100
257.0,GPT-4,0,90
258.0,GPT-4,0,99
259.0,GPT-4,0,90
260.0,GPT-4,0,90
261.0,GPT-4,0,90
262.0,GPT-4,0,98
263.0,GPT-4,0,100
264.0,GPT-4,0,90
265.0,GPT-4,0,99
266.0,GPT-4,0,90
267.0,GPT-4,0,100
268.0,GPT-4,0,90
269.0,GPT-4,0,90
270.0,GPT-4,0,100
271.0,GPT-4,0,99
272.0,GPT-4,0,90
273.0,GPT-4,0,90
274.0,GPT-3.5,0,90
275.0,GPT-3.5,0,90
276.0,GPT-4,0,98
277.0,GPT-4,0,90
278.0,GPT-4,0,90
279.0,GPT-4,0,90
280.0,GPT-4,0,90
281.0,GPT-4,0,100
282.0,GPT-4,0,100
283.0,GPT-4,0,90
284.0,GPT-3.5,0,90
285.0,GPT-3.5,0,100
286.0,HUMAN,0,100
287.0,HUMAN,0,100
288.0,GPT-3.5,0,90
289.0,GPT-3.5,0,100
290.0,HUMAN,0,100
291.0,HUMAN,0,90
292.0,GPT-3.5,0,90
293.0,GPT-3.5,0,90
294.0,GPT-3.5,0,90
295.0,HUMAN,0,80
296.0,HUMAN,0,100
297.0,HUMAN,0,90
298.0,GPT-4o,0,0
299.0,GPT-4o,0,99
300.0,GPT-4o,0,90
301.0,GPT-4o,0,100
302.0,GPT-4o,0,0
303.0,GPT-4o,0,90
304.0,GPT-4o,0,100
305.0,GPT-4o,0,90
306.0,GPT-4o,0,90
307.0,GPT-4o,0,90
308.0,GPT-4o,0,90
309.0,GPT-4o,0,100
310.0,HUMAN,0,90
311.0,GPT-4o,0,90
312.0,HUMAN,0,100
313.0,GPT-4o,0,90
314.0,GPT-4o,0,90
315.0,HUMAN,0,0
316.0,HUMAN,0,0
317.0,GPT-4o,0,98
318.0,GPT-4o,0,90
319.0,GPT-4o,0,90
320.0,GPT-4o,0,90
321.0,GPT-4o,0,90
322.0,GPT-4o,0,90
323.0,GPT-4o,0,100
324.0,GPT-4o,0,90
325.0,GPT-4o,0,90
326.0,GPT-4o,0,90
327.0,GPT-4o,0,90
328.0,HUMAN,0,90
329.0,HUMAN,0,90
330.0,HUMAN,0,90
331.0,GPT-4o,0,90
332.0,GPT-4o,0,100
333.0,HUMAN,0,100
334.0,HUMAN,0,0
335.0,GPT-4o,0,90
336.0,GPT-4o,0,90
337.0,HUMAN,0,100
338.0,HUMAN,0,90
339.0,GPT-4o,0,90
340.0,HUMAN,0,90
341.0,GPT-4o,0,90
342.0,GPT-4o,0,90
343.0,GPT-4o,0,90
344.0,GPT-4o,0,90
345.0,GPT-4o,0,90
346.0,GPT-4o,0,90
347.0,HUMAN,0,100
348.0,HUMAN,0,100
349.0,HUMAN,0,90
350.0,GPT-4o,0,0
351.0,GPT-4o,0,90
352.0,GPT-4o,0,90
353.0,HUMAN,0,100
354.0,HUMAN,0,100
355.0,HUMAN,0,90
356.0,GPT-3.5,0,90
357.0,GPT-3.5,0,100
358.0,GPT-3.5,0,90
359.0,GPT-3.5,0,100
360.0,GPT-3.5,0,90
361.0,GPT-3.5,0,100
362.0,GPT-3.5,0,90
363.0,GPT-3.5,0,90
364.0,GPT-3.5,0,90
365.0,GPT-3.5,0,90
366.0,HUMAN,0,90
367.0,HUMAN,0,100
368.0,HUMAN,0,100
369.0,GPT-3.5,0,100
370.0,GPT-3.5,0,0
371.0,GPT-3.5,0,90
372.0,GPT-3.5,0,90
373.0,GPT-3.5,0,90
374.0,GPT-3.5,0,100
375.0,GPT-3.5,0,90
376.0,GPT-3.5,0,100
377.0,GPT-3.5,0,100
378.0,GPT-3.5,0,100
379.0,GPT-3.5,0,90
380.0,GPT-3.5,0,90
381.0,GPT-3.5,0,100
382.0,GPT-3.5,0,90
383.0,GPT-4o,0,100
384.0,GPT-4o,0,90
385.0,GPT-4o,0,90
386.0,GPT-4o,0,90
387.0,GPT-4o,0,90
388.0,HUMAN,0,90
389.0,HUMAN,0,100
390.0,GPT-4o,0,99
391.0,GPT-4o,0,90
392.0,GPT-4o,0,90
393.0,HUMAN,0,90
394.0,HUMAN,0,90
395.0,GPT-4o,0,90
396.0,GPT-4o,0,100
397.0,GPT-4o,0,0
398.0,HUMAN,0,90
399.0,HUMAN,0,100
400.0,HUMAN,0,100
401.0,GPT-4,0,90
402.0,GPT-4,0,100
403.0,GPT-4,0,90
404.0,HUMAN,0,100
405.0,HUMAN,0,90
406.0,HUMAN,0,90
407.0,GPT-4,0,90
408.0,GPT-4,0,100
409.0,GPT-4,0,0
410.0,GPT-4,0,100
411.0,GPT-4,0,100
412.0,GPT-4,0,90
413.0,GPT-4,0,90
414.0,GPT-4,0,90
415.0,GPT-4,0,100
416.0,GPT-4,0,90
417.0,GPT-4,0,90
418.0,GPT-4,0,90
419.0,GPT-4,0,90
420.0,GPT-4,0,90
421.0,GPT-4,0,90
422.0,HUMAN,0,100
423.0,HUMAN,0,100
424.0,GPT-4,0,90
425.0,GPT-4,0,90
426.0,GPT-4o,0,90
427.0,GPT-4o,0,100
428.0,GPT-4o,0,90
429.0,GPT-4o,0,90
430.0,GPT-4o,0,90
431.0,GPT-4o,0,100
432.0,GPT-4o,0,90
433.0,GPT-4o,0,90
434.0,GPT-4o,0,90
435.0,GPT-4o,0,90
436.0,GPT-4o,0,90
437.0,GPT-4o,0,100
438.0,GPT-4o,0,98
439.0,GPT-4o,0,90
440.0,GPT-4o,0,90
441.0,GPT-4o,0,90
442.0,GPT-4o,0,90
443.0,GPT-4o,0,0
444.0,GPT-4o,0,90
445.0,GPT-4o,0,100
446.0,GPT-4o,0,90
447.0,GPT-4o,0,90
448.0,GPT-4o,0,90
449.0,GPT-4o,0,90
450.0,GPT-4,0,90
451.0,GPT-4,0,90
452.0,GPT-4,0,90
453.0,GPT-4o,0,100
454.0,GPT-4o,0,100
455.0,GPT-4o,0,90
456.0,GPT-4o,0,100
457.0,GPT-4o,0,90
458.0,GPT-4o,0,90
459.0,GPT-4o,0,90
460.0,GPT-4o,0,90
461.0,GPT-4o,0,90
462.0,GPT-4o,0,100
463.0,GPT-4o,0,90
464.0,GPT-4o,0,100
465.0,GPT-4o,0,90
466.0,GPT-4o,0,90
467.0,GPT-4o,0,98
468.0,GPT-4o,0,90
469.0,GPT-4o,0,90
470.0,GPT-4o,0,0
471.0,GPT-4o,0,90
472.0,GPT-4o,0,90
473.0,GPT-4o,0,90
474.0,GPT-4o,0,90
475.0,GPT-4o,0,90
476.0,GPT-4o,0,90
477.0,GPT-4o,0,90
478.0,GPT-4o,0,90
479.0,GPT-4,0,90
480.0,GPT-4,0,90
481.0,GPT-4,0,90
482.0,GPT-4,0,100
483.0,GPT-4,0,90
484.0,GPT-4,0,90
485.0,GPT-4,0,100
486.0,GPT-4,0,90
487.0,GPT-4,0,90
488.0,GPT-4,0,90
489.0,GPT-4,0,100
490.0,GPT-4,0,90
491.0,GPT-4,0,90
492.0,GPT-4,0,98
493.0,GPT-4,0,100
494.0,GPT-4,0,100
495.0,GPT-4,0,90
496.0,GPT-4,0,90
497.0,GPT-4,0,90
498.0,GPT-4,0,100
499.0,GPT-4,0,100
500.0,GPT-4,0,90
501.0,GPT-4,0,90
